Objekt,Druh,Číslo,Jazyk,Cesta,Důvody,Jistota
UDT_MES_UnLoadData,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/Data/UDT_MES_UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_MES_UnLoadData_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/Data_ext/UDT_MES_UnLoadData_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_MEStoPLC,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/UDT_MEStoPLC.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
UDT_MEStoPLC_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/UDT_MEStoPLC_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
UDT_PLCtoMES,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/PLC to MES/UDT_PLCtoMES.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_PLCtoMES_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/PLC to MES_ext/UDT_PLCtoMES_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_StopperInterface,SW.Types.PlcStruct,,,EXPORT/PLC data types/LXL/Stopper/UDT_StopperInterface.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
UDT_Stopper_FB,SW.Types.PlcStruct,,,EXPORT/PLC data types/03 FunctionBlocks/201 Stopper/UDT_Stopper_FB.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
UDT_TrackingReport_HMI_OP1,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/Tracking/OLD/UDT_TrackingReport_HMI_OP1.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_TrackingReport_HMI_OP1_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/Tracking_ext/OLD/UDT_TrackingReport_HMI_OP1_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_TrackingReport_OP01,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/Tracking/OLD/UDT_TrackingReport_OP01.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
UDT_TrackingReport_OP01_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/Tracking_ext/OLD/UDT_TrackingReport_OP01_ext.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
