Objekt,Druh,Číslo,Jazyk,Cesta,Důvody,Jistota
Station4UnLoadData,SW.Blocks.GlobalDB,517,DB,EXPORT/Program blocks/OP010/11_MES/Station4UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station5LoadData,SW.Blocks.GlobalDB,518,DB,EXPORT/Program blocks/OP010/11_MES/Station5LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station5UnLoadData,SW.Blocks.GlobalDB,519,DB,EXPORT/Program blocks/OP010/11_MES/Station5UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station6LoadData,SW.Blocks.GlobalDB,520,DB,EXPORT/Program blocks/OP010/11_MES/Station6LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station6UnLoadData,SW.Blocks.GlobalDB,521,DB,EXPORT/Program blocks/OP010/11_MES/Station6UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station7LoadData,SW.Blocks.GlobalDB,522,DB,EXPORT/Program blocks/OP010/11_MES/Station7LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station7UnLoadData,SW.Blocks.GlobalDB,523,DB,EXPORT/Program blocks/OP010/11_MES/Station7UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station8LoadData,SW.Blocks.GlobalDB,524,DB,EXPORT/Program blocks/OP010/11_MES/Station8LoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
Station8UnLoadData,SW.Blocks.GlobalDB,525,DB,EXPORT/Program blocks/OP010/11_MES/Station8UnLoadData.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
DT-Chars_DB,SW.Blocks.InstanceDB,2360,DB,EXPORT/Program blocks/OP010/11_MES/DT-Chars_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
MES_CHeck_DB,SW.Blocks.InstanceDB,111,DB,EXPORT/Program blocks/OP010/11_MES/MES_CHeck_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_CountCycleTimeMain_DB,SW.Blocks.InstanceDB,1009,DB,EXPORT/Program blocks/OP010/09_Count_CycleTime/ST10_CountCycleTimeMain_DB.xml,Externí rozhraní (klíčová slova): mes,STŘEDNÍ
ST10_MaterialGate1_DB,SW.Blocks.InstanceDB,1151,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate1_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate2_DB,SW.Blocks.InstanceDB,1152,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate2_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate3_DB,SW.Blocks.InstanceDB,1153,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate3_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate4_DB,SW.Blocks.InstanceDB,1154,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate4_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate5_DB,SW.Blocks.InstanceDB,1155,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate5_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate6_DB,SW.Blocks.InstanceDB,1156,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate6_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_MaterialGate7_DB,SW.Blocks.InstanceDB,1157,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_MaterialGate7_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_NGGate1_DB,SW.Blocks.InstanceDB,1158,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_NGGate1_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_NGGate2_DB,SW.Blocks.InstanceDB,1159,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_NGGate2_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate1_DB,SW.Blocks.InstanceDB,1141,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate1_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate2_DB,SW.Blocks.InstanceDB,1142,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate2_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate3_DB,SW.Blocks.InstanceDB,1143,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate3_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate4_DB,SW.Blocks.InstanceDB,1144,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate4_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate5_DB,SW.Blocks.InstanceDB,1145,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate5_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate6_DB,SW.Blocks.InstanceDB,1146,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate6_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate7_DB,SW.Blocks.InstanceDB,1147,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate7_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate8_DB,SW.Blocks.InstanceDB,1148,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate8_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_SafetyGate9_DB,SW.Blocks.InstanceDB,1149,DB,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate9_DB.xml,"Bezpečnostně-adjacentní klíčová slova: safe, safety",STŘEDNÍ
ST10_StopperCtrl_DB,SW.Blocks.InstanceDB,2601,DB,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl_DB.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
ST10_Stopper_FB_DB,SW.Blocks.InstanceDB,1160,DB,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_FB_DB.xml,Bezpečnostně-adjacentní klíčová slova: sto,STŘEDNÍ
01_OB1,SW.Blocks.OB,1,LAD,EXPORT/Program blocks/01_OB/01_OB1.xml,Komisionačně kritický OB,STŘEDNÍ
02_Warm Restart,SW.Blocks.OB,100,LAD,EXPORT/Program blocks/01_OB/02_Warm Restart.xml,Komisionačně kritický OB,STŘEDNÍ
