kind,name,number,language,source_path
SW.Blocks.FB,ST10_Flow23_KReserveLifting,1093,GRAPH,EXPORT/Program blocks/OP010/03_Auto/L_Unload/K_ReserveLifting&Load&Unload/ST10_Flow23_KReserveLifting.xml
SW.Blocks.FB,ST10_Flow24_LUnloadingTrans,1094,GRAPH,EXPORT/Program blocks/OP010/03_Auto/L_Unload/ST10_Flow24_LUnloadingTrans.xml
SW.Blocks.FB,ST10_Flow25_HShaftLoad&Unload,1095,GRAPH,EXPORT/Program blocks/OP010/03_Auto/H_ShaftLifting&Load&Unload/ST10_Flow25_HShaftLoad&Unload.xml
SW.Blocks.FB,ST10_Flow26_JMagnetLoad&Unload,1096,GRAPH,EXPORT/Program blocks/OP010/03_Auto/J_MagnetLifting&Load&Unload/ST10_Flow26_JMagnetLoad&Unload.xml
SW.Blocks.FB,ST10_Flow27_KReserveLoad&Unload,1097,GRAPH,EXPORT/Program blocks/OP010/03_Auto/L_Unload/K_ReserveLifting&Load&Unload/ST10_Flow27_KReserveLoad&Unload.xml
SW.Blocks.FB,ST10_Flow28_LUnloadingLoad&Unload,1098,GRAPH,EXPORT/Program blocks/OP010/03_Auto/L_Unload/ST10_Flow28_LUnloadingLoad&Unload.xml
SW.Blocks.FB,ST10_Flow2_A1TableUnloading,1072,GRAPH,EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow2_A1TableUnloading.xml
SW.Blocks.FB,ST10_Flow3_A1RotaryShaftScan,1073,GRAPH,EXPORT/Program blocks/OP010/03_Auto/A1_TableLoad&Scan/ST10_Flow3_A1RotaryShaftScan.xml
SW.Blocks.FB,ST10_Flow4_B1Press,1074,GRAPH,EXPORT/Program blocks/OP010/03_Auto/B_Press/ST10_Flow4_B1Press.xml
SW.Blocks.FB,ST10_Flow5_FRobot_1,1075,GRAPH,EXPORT/Program blocks/OP010/03_Auto/F_Robot/ST10_Flow5_FRobot_1.xml
SW.Blocks.FB,ST10_Flow5_FRobot_1,1075,GRAPH,EXPORT/Program blocks/OP010/03_Auto/F_Robot/ST10_Flow5_FRobot_1_01092026_152002.xml
SW.Blocks.FB,ST10_Flow5_FRobot_1,1075,GRAPH,EXPORT/Program blocks/OP010/03_Auto/F_Robot/ST10_Flow5_FRobot_1_01092026_152004.xml
SW.Blocks.FB,ST10_Flow6_ToolCodeScan,1076,GRAPH,EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ST10_Flow6_ToolCodeScan.xml
SW.Blocks.FB,ST10_Flow7_CGlueing,1077,GRAPH,EXPORT/Program blocks/OP010/03_Auto/C_Glue/ST10_Flow7_CGlueing.xml
SW.Blocks.FB,ST10_Flow8_FRobot_2,1078,GRAPH,EXPORT/Program blocks/OP010/03_Auto/F_Robot/ST10_Flow8_FRobot_2.xml
SW.Blocks.FB,ST10_StopperCtrl,2601,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/ST10_StopperCtrl.xml
SW.Blocks.FB,ST10_Stopper_FB,1160,LAD,EXPORT/Program blocks/OP010/10_Device/06_Stopper/ST10_Stopper_FB.xml
SW.Blocks.FB,SafetyGate,5200,LAD,EXPORT/Program blocks/03_Device/102 SafetyGate/SafetyGate.xml
SW.Blocks.FB,SevroStart&PosCheck,4073,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Standard/ServoCheck/SevroStart&PosCheck.xml
SW.Blocks.FB,SevroStart&PosCheck_IAI,2209,LAD,EXPORT/Program blocks/OP010/10_Device/22_IAI/ServoCheck/SevroStart&PosCheck_IAI.xml
SW.Blocks.FB,StopperCtrl,2600,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/01_FuncationBlock/StopperCtrl.xml
SW.Blocks.FB,SysFlowCtrlGraph,3006,SCL,EXPORT/Program blocks/02_Comm/02_SysMode/SysFlowCtrlGraph.xml
SW.Blocks.FB,SystemMode,3000,LAD,EXPORT/Program blocks/02_Comm/02_SysMode/SystemMode.xml
SW.Blocks.FB,V90_Servo,2500,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Servo.xml
SW.Blocks.FB,fbV90Ctrl,1820,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/V90_Standard/fbV90Ctrl.xml
SW.Blocks.FC,ChangeOver,3002,SCL,EXPORT/Program blocks/02_Comm/04-ChangeOver/ChangeOver.xml
SW.Blocks.FC,ChangeOverProcess,1000,LAD,EXPORT/Program blocks/OP010/03_Auto/01ChangeOver/ChangeOverProcess.xml
SW.Blocks.FC,CheckData,4023,SCL,EXPORT/Program blocks/02_Comm/06_SysDataBlock&Function/CheckData.xml
SW.Blocks.FC,CuringOven,900,LAD,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/CuringOven.xml
SW.Blocks.FC,CylinderCtrl_V2,3011,SCL,EXPORT/Program blocks/03_Device/101_Cylinder/CylinderCtrl_V2.xml
SW.Blocks.FC,CylinderModule_V2,3010,LAD,EXPORT/Program blocks/03_Device/101_Cylinder/CylinderModule_V2.xml
SW.Blocks.FC,Diagnostic,3001,SCL,EXPORT/Program blocks/02_Comm/03-Diagnosis/Diagnostic.xml
SW.Blocks.FC,Gluing,2800,LAD,EXPORT/Program blocks/OP010/10_Device/28_Gluing/Gluing.xml
SW.Blocks.FC,IAI,2200,LAD,EXPORT/Program blocks/OP010/10_Device/22_IAI/IAI.xml
SW.Blocks.FC,IV3,2100,LAD,EXPORT/Program blocks/OP010/10_Device/21_IV3/IV3.xml
SW.Blocks.FC,KistlerPresser_Main,2300,LAD,EXPORT/Program blocks/OP010/10_Device/23_Kistler/KistlerPresser_Main.xml
SW.Blocks.FC,MES,500,LAD,EXPORT/Program blocks/OP010/11_MES/MES.xml
SW.Blocks.FC,Motorr,3100,LAD,EXPORT/Program blocks/OP010/10_Device/31_Motor_1/Motorr.xml
SW.Blocks.FC,Pallet_NG,2900,LAD,EXPORT/Program blocks/OP010/10_Device/29_NG/Pallet_NG.xml
SW.Blocks.FC,Pilz,2700,LAD,EXPORT/Program blocks/OP010/10_Device/27_Pilz/Pilz.xml
SW.Blocks.FC,Robot,2400,LAD,EXPORT/Program blocks/OP010/10_Device/24_Robot/Robot.xml
SW.Blocks.FC,SR1000,1800,LAD,EXPORT/Program blocks/OP010/10_Device/18_SR1000 Scan/SR1000.xml
SW.Blocks.FC,ST10Cyl_interface1-10,1020,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface1-10.xml
SW.Blocks.FC,ST10Cyl_interface11-20,1021,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface11-20.xml
SW.Blocks.FC,ST10Cyl_interface21-30,1022,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface21-30.xml
SW.Blocks.FC,ST10Cyl_interface31-40,1023,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface31-40.xml
SW.Blocks.FC,ST10Cyl_interface41-50,1024,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface41-50.xml
SW.Blocks.FC,ST10Cyl_interface51-60,1025,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface51-60.xml
SW.Blocks.FC,ST10Cyl_interface61-70,1026,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface61-70.xml
SW.Blocks.FC,ST10Cyl_interface71-80,1027,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface71-80.xml
SW.Blocks.FC,ST10Cyl_interface81-90,1028,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface81-90.xml
