db_number,hit_count,samples
901,1,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/ST10_FB_S7connect.xml:570: <ConstantValue>P#DB901.DBX0.0 BYTE 100</ConstantValue>
902,1,EXPORT/Program blocks/OP010/10_Device/09_CuringOven/ST10_FB_S7connect.xml:372: <ConstantValue>P#DB902.DBX0.0 BYTE 100</ConstantValue>
1066,1,EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:9404: <ConstantValue>P#DB1066.DBX0.0 BYTE 171</ConstantValue>
1067,1,EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml:9381: <ConstantValue>P#DB1067.DBX0.0 BYTE 205</ConstantValue>
